hisse,fark,adet2,tks2,tip,donem,yukleme
YEOTK,995254,11419133,160933198,yabanci,2026_01,2026-04-18 13:52
DYOBY,941977,1504764,186553687,yabanci,2026_01,2026-04-18 13:52
ENERY,929599,261854363,2420686786,yabanci,2026_01,2026-04-18 13:52
KRDMA,909393,17947843,240300917,yabanci,2026_01,2026-04-18 13:52
TKFEN,854655,27778813,230848007,yabanci,2026_01,2026-04-18 13:52
AFYON,817039,7766615,399992258,yabanci,2026_01,2026-04-18 13:52
BULGS,811242,2836952,72499900,yabanci,2026_01,2026-04-18 13:52
PRDGS,770098,949053,110850000,yabanci,2026_01,2026-04-18 13:52
ANHYT,770029,10951208,88457041,yabanci,2026_01,2026-04-18 13:52
MEYSU,767965,767965,175000000,yabanci,2026_01,2026-04-18 13:52
THYAO,760034,154226322,739329751,yabanci,2026_01,2026-04-18 13:52
PAPIL,759774,1920944,206247674,yabanci,2026_01,2026-04-18 13:52
ECILC,707701,13872751,210589603,yabanci,2026_01,2026-04-18 13:52
LMKDC,692203,4309630,155929999,yabanci,2026_01,2026-04-18 13:52
MIATK,689825,10422388,313087979,yabanci,2026_01,2026-04-18 13:52
BRSAN,660607,4467641,35912460,yabanci,2026_01,2026-04-18 13:52
KGYO,648610,675978,767895149,yabanci,2026_01,2026-04-18 13:52
AKFIS,625636,2140949,66841328,yabanci,2026_01,2026-04-18 13:52
ARASE,603554,5832055,49999991,yabanci,2026_01,2026-04-18 13:52
BIENY,571354,2990196,83144831,yabanci,2026_01,2026-04-18 13:52
SKTAS,567303,919500,332865443,yabanci,2026_01,2026-04-18 13:52
KLKIM,557728,9030008,138383655,yabanci,2026_01,2026-04-18 13:52
YUNSA,554652,5489470,202164056,yabanci,2026_01,2026-04-18 13:52
KOPOL,548549,4318628,266319652,yabanci,2026_01,2026-04-18 13:52
MERIT,523918,2879737,329748900,yabanci,2026_01,2026-04-18 13:52
MERCN,518189,6192474,74389005,yabanci,2026_01,2026-04-18 13:52
KLYPV,508915,3481928,46334639,yabanci,2026_01,2026-04-18 13:52
BEGYO,477912,626687,277250000,yabanci,2026_01,2026-04-18 13:52
AYGAZ,472613,10412083,98568807,yabanci,2026_01,2026-04-18 13:52
BURCE,470154,4966085,44422390,yabanci,2026_01,2026-04-18 13:52
ASGYO,458669,1221689,165000000,yabanci,2026_01,2026-04-18 13:52
ASUZU,453397,3546732,41130807,yabanci,2026_01,2026-04-18 13:52
EMKEL,450859,786304,149999456,yabanci,2026_01,2026-04-18 13:52
NATEN,450118,3230896,309375000,yabanci,2026_01,2026-04-18 13:52
HRKET,448099,758901,24000000,yabanci,2026_01,2026-04-18 13:52
BALSU,446610,32703393,278000000,yabanci,2026_01,2026-04-18 13:52
MHRGY,405312,1127771,310499991,yabanci,2026_01,2026-04-18 13:52
KAREL,403421,17654565,329659497,yabanci,2026_01,2026-04-18 13:52
CEMAS,379668,6293818,790994229,yabanci,2026_01,2026-04-18 13:52
KZBGY,378396,28952521,585996164,yabanci,2026_01,2026-04-18 13:52
DERHL,342712,2522531,197281316,yabanci,2026_01,2026-04-18 13:52
OBASE,317180,636114,14924000,yabanci,2026_01,2026-04-18 13:52
VAKFN,312626,36576149,2064378140,yabanci,2026_01,2026-04-18 13:52
KMPUR,300361,6462274,132432524,yabanci,2026_01,2026-04-18 13:52
SDTTR,291839,667155,15990000,yabanci,2026_01,2026-04-18 13:52
PNLSN,287244,1481680,34752383,yabanci,2026_01,2026-04-18 13:52
DZGYO,283834,440197,399777846,yabanci,2026_01,2026-04-18 13:52
ATATP,282657,1569399,18809999,yabanci,2026_01,2026-04-18 13:52
FADE,277130,700509,42347497,yabanci,2026_01,2026-04-18 13:52
KRONT,272736,3642267,116892885,yabanci,2026_01,2026-04-18 13:52
OZKGY,272503,26436339,363999945,yabanci,2026_01,2026-04-18 13:52
GLRYH,266516,13780216,599623814,yabanci,2026_01,2026-04-18 13:52
BIOEN,256104,14841039,197983419,yabanci,2026_01,2026-04-18 13:52
HATEK,251125,297811,62998947,yabanci,2026_01,2026-04-18 13:52
GRSEL,249114,2061141,29650000,yabanci,2026_01,2026-04-18 13:52
BOBET,239784,2024349,113999998,yabanci,2026_01,2026-04-18 13:52
MEPET,237768,1316970,73940585,yabanci,2026_01,2026-04-18 13:52
EGPRO,237341,436563,175170570,yabanci,2026_01,2026-04-18 13:52
BOSSA,229084,275404,508724189,yabanci,2026_01,2026-04-18 13:52
HURGZ,227051,261254,220784167,yabanci,2026_01,2026-04-18 13:52
SAFKR,227035,592409,139427409,yabanci,2026_01,2026-04-18 13:52
BLUME,224851,637759,174710134,yabanci,2026_01,2026-04-18 13:52
MOBTL,221110,5231384,207999999,yabanci,2026_01,2026-04-18 13:52
BAKAB,216229,741842,34985326,yabanci,2026_01,2026-04-18 13:52
CRFSA,211073,1940608,18312793,yabanci,2026_01,2026-04-18 13:52
BIGTK,210170,1538037,23395022,yabanci,2026_01,2026-04-18 13:52
SANKO,206653,912398,37499197,yabanci,2026_01,2026-04-18 13:52
FRMPL,206476,206476,39997696,yabanci,2026_01,2026-04-18 13:52
AYEN,202046,1714719,55531320,yabanci,2026_01,2026-04-18 13:52
BEYAZ,192629,408188,42317352,yabanci,2026_01,2026-04-18 13:52
RTALB,192506,798797,432976722,yabanci,2026_01,2026-04-18 13:52
ISGSY,186789,332369,47378729,yabanci,2026_01,2026-04-18 13:52
ISFIN,183712,37006732,310154523,yabanci,2026_01,2026-04-18 13:52
SURGY,183149,282376,44745990,yabanci,2026_01,2026-04-18 13:52
GZNMI,180666,377271,40910271,yabanci,2026_01,2026-04-18 13:52
TEHOL,178116,89652184,1967936441,yabanci,2026_01,2026-04-18 13:52
BMSTL,169492,433045,74772260,yabanci,2026_01,2026-04-18 13:52
ORGE,168255,7889439,41839996,yabanci,2026_01,2026-04-18 13:52
LINK,163502,1219640,18231985,yabanci,2026_01,2026-04-18 13:52
EPLAS,157467,3864019,190491857,yabanci,2026_01,2026-04-18 13:52
ETILR,157108,157108,156217454,yabanci,2026_01,2026-04-18 13:52
CEOEM,156796,786434,22232614,yabanci,2026_01,2026-04-18 13:52
KRTEK,146365,252851,18914650,yabanci,2026_01,2026-04-18 13:52
DOKTA,146235,367998,145872862,yabanci,2026_01,2026-04-18 13:52
ALCTL,144913,417405,13543218,yabanci,2026_01,2026-04-18 13:52
KRPLS,140464,811376,78486163,yabanci,2026_01,2026-04-18 13:52
