hisse,adet2,tks2,oran,tip,donem,yukleme
CANTE,287631801,6026143802,4.77,yabanci,2026_01,2026-04-18 13:52
CWENE,59476517,530758241,11.21,yabanci,2026_01,2026-04-18 13:52
ASELS,613850906,1178597817,52.08,yabanci,2026_01,2026-04-18 13:52
QUAGR,168983189,1771950000,9.54,yabanci,2026_01,2026-04-18 13:52
SISE,204593491,1814922730,11.27,yabanci,2026_01,2026-04-18 13:52
EKGYO,502227361,1925107366,26.09,yabanci,2026_01,2026-04-18 13:52
AGROT,31190420,843999770,3.7,yabanci,2026_01,2026-04-18 13:52
SRVGY,65117604,806067999,8.08,yabanci,2026_01,2026-04-18 13:52
GARAN,209072982,2454854227,8.52,yabanci,2026_01,2026-04-18 13:52
FROTO,216980292,625120847,34.71,yabanci,2026_01,2026-04-18 13:52
MAVI,181384008,576779312,31.45,yabanci,2026_01,2026-04-18 13:52
BORLS,14546242,308652686,4.71,yabanci,2026_01,2026-04-18 13:52
LIDFA,30692281,458180545,6.7,yabanci,2026_01,2026-04-18 13:52
RYGYO,302149379,770588057,39.21,yabanci,2026_01,2026-04-18 13:52
HALKB,45116032,6546422780,0.69,yabanci,2026_01,2026-04-18 13:52
ANSGR,147913426,1564416026,9.45,yabanci,2026_01,2026-04-18 13:52
DOHOL,224329706,984706959,22.78,yabanci,2026_01,2026-04-18 13:52
ALVES,12428951,862856920,1.44,yabanci,2026_01,2026-04-18 13:52
ASTOR,174490690,366896261,47.56,yabanci,2026_01,2026-04-18 13:52
SKBNK,124877176,2498879854,5.0,yabanci,2026_01,2026-04-18 13:52
AKFGY,153281204,3457819315,4.43,yabanci,2026_01,2026-04-18 13:52
DAPGM,97782571,928276145,10.53,yabanci,2026_01,2026-04-18 13:52
TSPOR,24561389,3674526664,0.67,yabanci,2026_01,2026-04-18 13:52
ULKER,56808723,338855989,16.76,yabanci,2026_01,2026-04-18 13:52
SARKY,55062204,999999671,5.51,yabanci,2026_01,2026-04-18 13:52
BJKAS,105952420,1776089716,5.97,yabanci,2026_01,2026-04-18 13:52
MAGEN,89084916,719512140,12.38,yabanci,2026_01,2026-04-18 13:52
HLGYO,48843618,1075198516,4.54,yabanci,2026_01,2026-04-18 13:52
ULUFA,10155470,305352801,3.33,yabanci,2026_01,2026-04-18 13:52
ALBRK,198475336,1050739765,18.89,yabanci,2026_01,2026-04-18 13:52
AKGRT,158719745,629007625,25.23,yabanci,2026_01,2026-04-18 13:52
TUKAS,180337860,4499995929,4.01,yabanci,2026_01,2026-04-18 13:52
AGHOL,250063103,1068828243,23.4,yabanci,2026_01,2026-04-18 13:52
CVKMD,35532305,461999787,7.69,yabanci,2026_01,2026-04-18 13:52
DARDL,16345339,1753442695,0.93,yabanci,2026_01,2026-04-18 13:52
IHGZT,5245860,570666228,0.92,yabanci,2026_01,2026-04-18 13:52
AKFYE,149890066,551782160,27.16,yabanci,2026_01,2026-04-18 13:52
ISKPL,49083521,724625736,6.77,yabanci,2026_01,2026-04-18 13:52
ENSRI,9316422,236333503,3.94,yabanci,2026_01,2026-04-18 13:52
TUREX,9256325,432000000,2.14,yabanci,2026_01,2026-04-18 13:52
DOAS,21332135,97899975,21.79,yabanci,2026_01,2026-04-18 13:52
ALARK,18334265,164975148,11.11,yabanci,2026_01,2026-04-18 13:52
TAVHL,119608223,213213415,56.1,yabanci,2026_01,2026-04-18 13:52
PSGYO,26530353,2954231556,0.9,yabanci,2026_01,2026-04-18 13:52
SEGMN,4141300,80999980,5.11,yabanci,2026_01,2026-04-18 13:52
OZGYO,6686074,490916869,1.36,yabanci,2026_01,2026-04-18 13:52
METRO,3944120,539989959,0.73,yabanci,2026_01,2026-04-18 13:52
ISDMR,23535195,147623050,15.94,yabanci,2026_01,2026-04-18 13:52
KATMR,74320481,1980989998,3.75,yabanci,2026_01,2026-04-18 13:52
PATEK,16138728,293081892,5.51,yabanci,2026_01,2026-04-18 13:52
TRMET,49765921,174454588,28.53,yabanci,2026_01,2026-04-18 13:52
MEGMT,5578373,72749999,7.67,yabanci,2026_01,2026-04-18 13:52
AHSGY,16034339,184999889,8.67,yabanci,2026_01,2026-04-18 13:52
EGEPO,7106479,200000000,3.55,yabanci,2026_01,2026-04-18 13:52
TOASO,27362999,120585076,22.69,yabanci,2026_01,2026-04-18 13:52
