hisse,adet2,adet_fark,tks2,oran2,pp_fark,dolasim_pct,kurum,donem,tip,yukleme
ALBRK,1021764,15293,1050477279,0.0973,0.0015,0.0015,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GRTHO,34567,15143,36745000,0.0941,0.0412,0.0412,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GRSEL,117867,14639,29650000,0.3975,0.0493,0.0494,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SDTTR,103209,14425,15990000,0.6455,0.0903,0.0902,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ZEDUR,662805,14373,69899992,0.9482,0.0205,0.0206,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ULUSE,59696,14023,24000000,0.2487,0.0584,0.0584,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AVHOL,333486,12450,26047279,1.2803,0.0478,0.0478,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALTNY,605173,12175,93691712,0.6459,0.013,0.013,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EMNIS,35579,10819,3429235,1.0375,0.3155,0.3155,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DEVA,148777,10809,199971814,0.0744,0.0054,0.0054,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KMPUR,496811,9905,132432524,0.3751,0.0074,0.0075,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BIMAS,84010,9703,436213978,0.0193,0.0023,0.0022,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AKSUE,620117,9080,56376184,1.1,0.0161,0.0161,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DIRIT,369567,8788,10066255,3.6713,0.0873,0.0873,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
VSNMD,245912,8782,24000000,1.0246,0.0366,0.0366,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
RUBNS,244248,7985,36420000,0.6706,0.0219,0.0219,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ARTMS,266656,7940,24199999,1.1019,0.0328,0.0328,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TATEN,703118,7505,70199931,1.0016,0.0107,0.0107,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRPLS,773082,7415,78486163,0.985,0.0095,0.0094,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BFREN,47028,7333,24586148,0.1913,0.0298,0.0298,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MZHLD,1691852,7049,72215314,2.3428,0.0098,0.0098,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EBEBK,115124,6922,40534692,0.284,0.0171,0.0171,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LOGO,61727,6793,74328248,0.083,0.0091,0.0091,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TAVHL,105185,6168,213213415,0.0493,0.0029,0.0029,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
HATSN,338213,5415,44299973,0.7635,0.0123,0.0122,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ZRGYO,70413,4884,1173404997,0.006,0.0004,0.0004,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
OTKAR,13605,4772,33417185,0.0407,0.0143,0.0143,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BANVT,56168,4689,36961044,0.152,0.0127,0.0127,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
RGYAS,38256,3326,105523000,0.0363,0.0032,0.0032,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BRSAN,61260,2821,35912460,0.1706,0.0079,0.0079,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRDMB,34677,2722,118762111,0.0292,0.0023,0.0023,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CASA,92042,2708,4893757,1.8808,0.0553,0.0553,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AKCNS,58843,2605,39359284,0.1495,0.0066,0.0066,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SKYMD,499372,2413,52499980,0.9512,0.0046,0.0046,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
INTEM,14704,2254,9428747,0.1559,0.0239,0.0239,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ATEKS,13355,1651,5441598,0.2454,0.0303,0.0303,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GOLTS,25276,1492,12422783,0.2035,0.012,0.012,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MRSHL,9616,894,4212888,0.2283,0.0213,0.0212,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TBORG,88560,720,59392160,0.1491,0.0012,0.0012,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AKMGY,8109,652,21568998,0.0376,0.003,0.003,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EDIP,321935,646,36468203,0.8828,0.0018,0.0018,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AYCES,20036,605,1895369,1.0571,0.0319,0.0319,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KSTUR,1899,445,3952041,0.0481,0.0113,0.0113,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GARFA,207629,416,138399778,0.15,0.0003,0.0003,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
POLTK,1306,326,1125000,0.1161,0.029,0.029,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CLEBI,8287,286,5490178,0.1509,0.0052,0.0052,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MPARK,19896,-109,80869110,0.0246,-0.0001,-0.0001,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ATATP,80050,-135,18809999,0.4256,-0.0007,-0.0007,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ERCB,151542,-160,18270475,0.8294,-0.0009,-0.0009,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CMBTN,4851,-327,1023000,0.4742,-0.032,-0.032,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ERBOS,40841,-347,15899843,0.2569,-0.0021,-0.0022,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EGEEN,3826,-358,1137161,0.3365,-0.0314,-0.0315,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MAALT,9544,-484,3090893,0.3088,-0.0156,-0.0157,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALCAR,6072,-628,1721735,0.3527,-0.0364,-0.0365,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
OYAYO,76821,-641,19999941,0.3841,-0.0032,-0.0032,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
FMIZP,15001,-871,3497751,0.4289,-0.0249,-0.0249,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YGGYO,8752,-1032,240625741,0.0036,-0.0005,-0.0004,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TMPOL,54069,-1048,11044990,0.4895,-0.0095,-0.0095,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GLCVY,150259,-1072,26400000,0.5692,-0.004,-0.0041,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ATSYH,422833,-1183,7998869,5.2862,-0.0147,-0.0148,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PKENT,104915,-1484,21316169,0.4922,-0.0069,-0.007,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BRYAT,10251,-1515,9423748,0.1088,-0.0161,-0.0161,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
