hisse,yab_fark,tks2,donem,yukleme
EUHOL,0,142999955,2026_01_01,2026-04-18 16:38
KLNMA,0,91846864,2026_01_01,2026-04-18 16:38
AGYO,0,129036460,2026_01_01,2026-04-18 16:38
YGYO,0,1310632851,2026_01_01,2026-04-18 16:38
BURVA,0,4723271,2026_01_01,2026-04-18 16:38
EGCYO,0,21986285,2026_01_01,2026-04-18 16:38
AKPAZ,0,22489187,2026_01_01,2026-04-18 16:38
FENIS,0,26080019,2026_01_01,2026-04-18 16:38
SELVA,0,747897737,2026_01_01,2026-04-18 16:38
SEYKM,0,151040901,2026_01_01,2026-04-18 16:38
SILVR,0,212818206,2026_01_01,2026-04-18 16:38
MZHLD,0,72215314,2026_01_01,2026-04-18 16:38
BYDNR,0,17999984,2026_01_01,2026-04-18 16:38
SKYLP,0,7159255,2026_01_01,2026-04-18 16:38
ORCAY,-1,149461797,2026_01_01,2026-04-18 16:38
FLAP,-1,93599986,2026_01_01,2026-04-18 16:38
KONYA,-81,1646416,2026_01_01,2026-04-18 16:38
CMBTN,-96,1023000,2026_01_01,2026-04-18 16:38
TMPOL,-255,11039990,2026_01_01,2026-04-18 16:38
TARKM,-357,4999997,2026_01_01,2026-04-18 16:38
MRSHL,-534,4212888,2026_01_01,2026-04-18 16:38
KARTN,-809,72781126,2026_01_01,2026-04-18 16:38
BIZIM,-890,27601626,2026_01_01,2026-04-18 16:38
REEDR,-1591,627278663,2026_01_01,2026-04-18 16:38
ALVES,-1708,86285692,2026_01_01,2026-04-18 16:38
BRISA,-1710,31247472,2026_01_01,2026-04-18 16:38
KGYO,-2195,767895149,2026_01_01,2026-04-18 16:38
BANVT,-2850,36961044,2026_01_01,2026-04-18 16:38
ACSEL,-3127,8589113,2026_01_01,2026-04-18 16:38
GOODY,-3248,132804473,2026_01_01,2026-04-18 16:38
YAPRK,-3935,4214998,2026_01_01,2026-04-18 16:38
BRYAT,-4953,10264685,2026_01_01,2026-04-18 16:38
KONKA,-5897,89670000,2026_01_01,2026-04-18 16:38
NETAS,-6630,31783484,2026_01_01,2026-04-18 16:38
OZATD,-6981,13349988,2026_01_01,2026-04-18 16:38
SMART,-7800,29737499,2026_01_01,2026-04-18 16:38
KTSKR,-8822,14691795,2026_01_01,2026-04-18 16:38
RUZYE,-9736,267748491,2026_01_01,2026-04-18 16:38
KNFRT,-10344,131747000,2026_01_01,2026-04-18 16:38
CUSAN,-10706,18500000,2026_01_01,2026-04-18 16:38
TBORG,-10712,59392160,2026_01_01,2026-04-18 16:38
PCILT,-11777,45014183,2026_01_01,2026-04-18 16:38
MEPET,-12684,73940585,2026_01_01,2026-04-18 16:38
ISYAT,-13820,152245569,2026_01_01,2026-04-18 16:38
BAHKM,-15345,23289000,2026_01_01,2026-04-18 16:38
PAGYO,-15896,57781202,2026_01_01,2026-04-18 16:38
DZGYO,-17724,399777846,2026_01_01,2026-04-18 16:38
VKING,-18867,30932905,2026_01_01,2026-04-18 16:38
ECZYT,-19369,45880511,2026_01_01,2026-04-18 16:38
GRSEL,-20986,29650000,2026_01_01,2026-04-18 16:38
AKMGY,-21350,21568998,2026_01_01,2026-04-18 16:38
METRO,-23018,539989959,2026_01_01,2026-04-18 16:38
GLRMK,-24680,38760000,2026_01_01,2026-04-18 16:38
INVES,-24759,37480000,2026_01_01,2026-04-18 16:38
ONCSM,-26201,10086000,2026_01_01,2026-04-18 16:38
PARSN,-26428,34033246,2026_01_01,2026-04-18 16:38
AVGYO,-26707,111590302,2026_01_01,2026-04-18 16:38
KAREL,-27887,329659497,2026_01_01,2026-04-18 16:38
PNLSN,-28989,34752383,2026_01_01,2026-04-18 16:38
JANTS,-29458,207477849,2026_01_01,2026-04-18 16:38
BLCYT,-33584,49088912,2026_01_01,2026-04-18 16:38
DSTKF,-35689,83333333,2026_01_01,2026-04-18 16:38
ELITE,-36127,44650000,2026_01_01,2026-04-18 16:38
BEYAZ,-41122,42317352,2026_01_01,2026-04-18 16:38
BASGZ,-41662,174999999,2026_01_01,2026-04-18 16:38
SAFKR,-43946,139433366,2026_01_01,2026-04-18 16:38
ENERY,-44739,2420687469,2026_01_01,2026-04-18 16:38
GLRYH,-45193,599623814,2026_01_01,2026-04-18 16:38
HATEK,-46682,62998947,2026_01_01,2026-04-18 16:38
CRFSA,-49123,18313273,2026_01_01,2026-04-18 16:38
AKENR,-49419,385194146,2026_01_01,2026-04-18 16:38
KRSTL,-53413,183664642,2026_01_01,2026-04-18 16:38
FORMT,-53904,1075744355,2026_01_01,2026-04-18 16:38
ATAKP,-60618,28224000,2026_01_01,2026-04-18 16:38
UNLU,-60793,102181558,2026_01_01,2026-04-18 16:38
LUKSK,-61011,27257202,2026_01_01,2026-04-18 16:38
TEKTU,-61013,195639311,2026_01_01,2026-04-18 16:38
BEGYO,-62077,290000000,2026_01_01,2026-04-18 16:38
OZSUB,-64930,41499126,2026_01_01,2026-04-18 16:38
INVEO,-66320,998999954,2026_01_01,2026-04-18 16:38
ISFIN,-66381,310154523,2026_01_01,2026-04-18 16:38
DEVA,-68386,199971814,2026_01_01,2026-04-18 16:38
KLMSN,-70181,30881297,2026_01_01,2026-04-18 16:38
FRIGO,-76141,121449172,2026_01_01,2026-04-18 16:38
MAKIM,-76316,42559998,2026_01_01,2026-04-18 16:38
AKSA,-77077,1503671742,2026_01_01,2026-04-18 16:38
EBEBK,-77239,40534692,2026_01_01,2026-04-18 16:38
SURGY,-81340,44999990,2026_01_01,2026-04-18 16:38
MOPAS,-81570,57330000,2026_01_01,2026-04-18 16:38
OBASE,-90760,14924000,2026_01_01,2026-04-18 16:38
MNDTR,-96095,910071938,2026_01_01,2026-04-18 16:38
ALCTL,-96176,13543218,2026_01_01,2026-04-18 16:38
ARENA,-98736,66996461,2026_01_01,2026-04-18 16:38
PINSU,-99551,101635846,2026_01_01,2026-04-18 16:38
RAYSG,-105195,51947024,2026_01_01,2026-04-18 16:38
EPLAS,-108295,190491857,2026_01_01,2026-04-18 16:38
ADGYO,-109851,379654367,2026_01_01,2026-04-18 16:38
BALSU,-118048,278000000,2026_01_01,2026-04-18 16:38
OZYSR,-123730,40488000,2026_01_01,2026-04-18 16:38
KORDS,-124911,65421451,2026_01_01,2026-04-18 16:38
